Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Herbert Burns,0,15,57,26%,20,63,0,6,0%,0,0,76,9,45,5,10,1,2,13,55,2,2,0,0,L
Dennis Buzukja,1,83,201,41%,84,202,0,0,---,0,0,6,44,145,18,34,21,22,77,186,2,3,4,12,W
Connor Matthews,0,60,138,43%,62,140,1,3,33%,0,0,40,37,101,14,27,9,10,57,134,1,1,2,3,L
Ibo Aslan,1,74,180,41%,76,183,0,0,---,0,0,1,57,153,4,8,13,19,65,163,8,15,1,2,W
Anton Turkalj,0,55,157,35%,58,162,0,8,0%,0,0,18,36,126,11,18,8,13,49,146,6,11,0,0,L
Andre Petroski,0,13,42,30%,13,43,1,2,50%,0,0,13,6,34,2,2,5,6,12,41,1,1,0,0,L
Jacob Malkoun,0,20,40,50%,21,41,0,3,0%,0,0,32,16,36,4,4,0,0,17,35,0,1,3,4,W
Angel Pacheco,0,88,234,37%,95,241,0,0,---,0,0,9,44,180,32,38,12,16,80,226,8,8,0,0,L
Caolan Loughran,0,140,268,52%,148,286,3,4,75%,0,0,282,112,226,18,30,10,12,97,208,9,10,34,50,W
Amanda Ribas,0,83,270,30%,137,342,4,8,50%,0,0,98,39,195,19,42,25,33,76,259,4,6,3,5,L
Rose Namajunas,0,93,188,49%,169,281,1,3,33%,0,1,419,45,124,44,60,4,4,81,176,12,12,0,0,W
Karl Williams,0,40,61,65%,123,176,7,12,58%,1,0,631,26,47,7,7,7,7,19,29,3,4,18,28,W
Justin Tafa,0,21,43,48%,27,50,0,0,---,0,0,0,15,36,6,7,0,0,18,39,2,3,1,1,L
Edmen Shahbazyan,1,27,43,62%,31,51,1,3,33%,0,0,49,19,34,2,3,6,6,16,24,1,3,10,16,W
AJ Dobson,0,15,46,32%,20,54,0,0,---,0,1,75,7,36,2,2,6,8,12,43,3,3,0,0,L
Payton Talbott,1,79,129,61%,83,135,0,1,0%,0,0,30,52,96,21,27,6,6,54,98,6,8,19,23,W
Cameron Saaiman,0,31,64,48%,33,66,0,3,0%,0,0,0,13,40,11,17,7,7,30,63,1,1,0,0,L
Billy Quarantillo,0,10,50,20%,26,74,0,0,---,0,0,21,8,36,0,8,2,6,10,50,0,0,0,0,L
Youssef Zalal,0,33,56,58%,37,62,2,2,100%,2,0,175,18,36,5,9,10,11,28,49,0,1,5,6,W
Fernando Padilla,1,34,61,55%,35,64,0,0,---,1,0,47,24,49,6,8,4,4,17,32,0,0,17,29,W
Luis Pajuelo,0,5,13,38%,7,15,0,0,---,0,0,0,1,9,2,2,2,2,5,13,0,0,0,0,L
Kurt Holobaugh,0,29,68,42%,129,188,0,0,---,0,0,10,9,43,9,12,11,13,24,63,3,3,2,2,L
Trey Ogden,0,35,66,53%,225,320,3,4,75%,0,0,669,22,52,4,4,9,10,28,59,2,2,5,5,W
Ricardo Ramos,0,7,17,41%,12,23,2,3,66%,0,0,87,5,14,1,2,1,1,6,15,0,0,1,2,L
